"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"10/21/2024 04:00:00 PM","subway","5","36 Av (N,W)","Queens","omny","OMNY - Other","2","0","40.756805","-73.92957","POINT (-73.92957 40.756805)"
"10/21/2024 04:00:00 PM","subway","34","53 St (R)","Brooklyn","omny","OMNY - Other","1","0","40.64507","-74.01403","POINT (-74.01403 40.64507)"
"10/21/2024 04:00:00 PM","subway","364","Zerega Av (6)","Bronx","omny","OMNY - Other","1","0","40.836487","-73.84704","POINT (-73.84704 40.836487)"
"10/21/2024 04:00:00 PM","subway","291","Clinton-Washington Avs (G)","Brooklyn","metrocard","Metrocard - Full Fare","45","1","40.688087","-73.96684","POINT (-73.96684 40.688087)"
"10/21/2024 04:00:00 PM","subway","234","East Broadway (F)","Manhattan","metrocard","Metrocard - Full Fare","104","2","40.713715","-73.99017","POINT (-73.99017 40.713715)"
"10/21/2024 04:00:00 PM","subway","372","Longwood Av (6)","Bronx","metrocard","Metrocard - Other","3","0","40.816105","-73.89644","POINT (-73.89644 40.816105)"
"10/21/2024 04:00:00 PM","subway","217","170 St (B,D)","Bronx","metrocard","Metrocard - Fair Fare","16","0","40.839306","-73.9134","POINT (-73.9134 40.839306)"
"10/21/2024 04:00:00 PM","subway","407","Astor Pl (6)","Manhattan","omny","OMNY - Students","68","1","40.730053","-73.99107","POINT (-73.99107 40.730053)"
"10/21/2024 04:00:00 PM","subway","286","Broadway (G)","Brooklyn","metrocard","Metrocard - Fair Fare","14","0","40.706093","-73.95031","POINT (-73.95031 40.706093)"
"10/21/2024 04:00:00 PM","subway","149","163 St-Amsterdam Av (C)","Manhattan","metrocard","Metrocard - Full Fare","26","0","40.836014","-73.939896","POINT (-73.939896 40.836014)"
"10/21/2024 04:00:00 PM","subway","69","25 Av (D)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","11","0","40.597706","-73.98683","POINT (-73.98683 40.597706)"
"10/21/2024 04:00:00 PM","subway","180","Kingston-Throop Avs (C)","Brooklyn","metrocard","Metrocard - Other","13","0","40.67992","-73.94086","POINT (-73.94086 40.67992)"
"10/21/2024 04:00:00 PM","subway","234","East Broadway (F)","Manhattan","metrocard","Metrocard - Other","47","0","40.713715","-73.99017","POINT (-73.99017 40.713715)"
"10/21/2024 04:00:00 PM","subway","421","Gun Hill Rd (2,5)","Bronx","metrocard","Metrocard - Fair Fare","16","2","40.87785","-73.86626","POINT (-73.86626 40.87785)"
"10/21/2024 04:00:00 PM","subway","269","Northern Blvd (M,R)","Queens","metrocard","Metrocard - Other","8","0","40.752884","-73.906006","POINT (-73.906006 40.752884)"
