"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"10/21/2024 06:00:00 AM","subway","378","Woodlawn (4)","Bronx","metrocard","Metrocard - Other","22","2","40.886036","-73.87875","POINT (-73.87875 40.886036)"
"10/21/2024 06:00:00 AM","subway","290","Classon Av (G)","Brooklyn","metrocard","Metrocard - Full Fare","13","1","40.688873","-73.96007","POINT (-73.96007 40.688873)"
"10/21/2024 06:00:00 AM","subway","346","Sutter Av-Rutland Rd (3)","Brooklyn","omny","OMNY - Seniors & Disability","1","0","40.66472","-73.92261","POINT (-73.92261 40.66472)"
"10/21/2024 06:00:00 AM","subway","381","Kingsbridge Rd (4)","Bronx","omny","OMNY - Full Fare","173","15","40.86776","-73.89717","POINT (-73.89717 40.86776)"
"10/21/2024 06:00:00 AM","subway","238","Smith-9 Sts (F,G)","Brooklyn","metrocard","Metrocard - Other","5","0","40.67358","-73.99596","POINT (-73.99596 40.67358)"
"10/21/2024 06:00:00 AM","subway","258","Briarwood (E,F)","Queens","omny","OMNY - Other","1","0","40.70918","-73.82057","POINT (-73.82057 40.70918)"
"10/21/2024 06:00:00 AM","subway","249","Avenue P (F)","Brooklyn","metrocard","Metrocard - Fair Fare","6","0","40.608944","-73.97302","POINT (-73.97302 40.608944)"
"10/21/2024 06:00:00 AM","subway","80","121 St (J,Z)","Queens","metrocard","Metrocard - Other","12","0","40.700493","-73.82829","POINT (-73.82829 40.700493)"
"10/21/2024 06:00:00 AM","subway","90","Van Siclen Av (J,Z)","Brooklyn","metrocard","Metrocard - Seniors & Disability","4","0","40.678024","-73.891685","POINT (-73.891685 40.678024)"
"10/21/2024 06:00:00 AM","subway","183","Rockaway Av (C)","Brooklyn","metrocard","Metrocard - Fair Fare","14","0","40.67834","-73.91195","POINT (-73.91195 40.67834)"
"10/21/2024 06:00:00 AM","subway","222","Roosevelt Island (F)","Manhattan","omny","OMNY - Students","21","1","40.759144","-73.95326","POINT (-73.95326 40.759144)"
"10/21/2024 06:00:00 AM","subway","46","Cortelyou Rd (Q)","Brooklyn","metrocard","Metrocard - Full Fare","42","0","40.640926","-73.96389","POINT (-73.96389 40.640926)"
"10/21/2024 06:00:00 AM","subway","183","Rockaway Av (C)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","25","0","40.67834","-73.91195","POINT (-73.91195 40.67834)"
"10/21/2024 06:00:00 AM","subway","36","Bay Ridge Av (R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","28","0","40.634968","-74.02338","POINT (-74.02338 40.634968)"
"10/21/2024 06:00:00 AM","subway","124","Montrose Av (L)","Brooklyn","omny","OMNY - Students","5","0","40.70774","-73.93985","POINT (-73.93985 40.70774)"
"10/21/2024 06:00:00 AM","subway","427","West Farms Sq-E Tremont Av (2,5)","Bronx","metrocard","Metrocard - Fair Fare","25","3","40.840294","-73.88005","POINT (-73.88005 40.840294)"
"10/21/2024 06:00:00 AM","subway","425","Bronx Park East (2,5)","Bronx","omny","OMNY - Full Fare","53","4","40.848827","-73.868454","POINT (-73.868454 40.848827)"
"10/21/2024 06:00:00 AM","subway","347","Saratoga Av (3)","Brooklyn","metrocard","Metrocard - Full Fare","77","1","40.661453","-73.91633","POINT (-73.91633 40.661453)"
"10/21/2024 06:00:00 AM","subway","210","Norwood-205 St (D)","Bronx","metrocard","Metrocard - Unlimited 7-Day","57","0","40.87481","-73.87885","POINT (-73.87885 40.87481)"
"10/21/2024 06:00:00 AM","subway","252","Avenue X (F)","Brooklyn","metrocard","Metrocard - Fair Fare","6","0","40.58962","-73.97425","POINT (-73.97425 40.58962)"
"10/21/2024 06:00:00 AM","subway","82","104 St (J,Z)","Queens","omny","OMNY - Students","39","0","40.69518","-73.84433","POINT (-73.84433 40.69518)"
"10/21/2024 06:00:00 AM","subway","626","Franklin Av (2,3,4,5)/Botanic Garden (S)","Brooklyn","omny","OMNY - Full Fare","166","2","40.67068","-73.95813","POINT (-73.95813 40.67068)"
"10/21/2024 06:00:00 AM","subway","628","Fulton St (A,C,J,Z,2,3,4,5)","Manhattan","metrocard","Metrocard - Seniors & Disability","23","0","40.71037","-74.00657","POINT (-74.00657 40.71037)"
"10/21/2024 06:00:00 AM","subway","291","Clinton-Washington Avs (G)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","2","0","40.688087","-73.96684","POINT (-73.96684 40.688087)"
"10/21/2024 06:00:00 AM","subway","348","Rockaway Av (3)","Brooklyn","metrocard","Metrocard - Fair Fare","23","1","40.662548","-73.90894","POINT (-73.90894 40.662548)"
"10/21/2024 06:00:00 AM","subway","394","110 St (6)","Manhattan","metrocard","Metrocard - Seniors & Disability","5","0","40.79502","-73.94425","POINT (-73.94425 40.79502)"
"10/21/2024 06:00:00 AM","subway","365","Castle Hill Av (6)","Bronx","metrocard","Metrocard - Full Fare","71","10","40.834255","-73.85122","POINT (-73.85122 40.834255)"
"10/21/2024 06:00:00 AM","subway","362","Middletown Rd (6)","Bronx","metrocard","Metrocard - Seniors & Disability","2","0","40.843864","-73.83632","POINT (-73.83632 40.843864)"
"10/21/2024 06:00:00 AM","subway","243","Church Av (F,G)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","48","0","40.64404","-73.979675","POINT (-73.979675 40.64404)"
"10/21/2024 06:00:00 AM","subway","14","23 St (R,W)","Manhattan","omny","OMNY - Seniors & Disability","1","0","40.741302","-73.98934","POINT (-73.98934 40.741302)"
"10/21/2024 06:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Students","22","10","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"10/21/2024 06:00:00 AM","subway","405","23 St (6)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","14","0","40.739864","-73.9866","POINT (-73.9866 40.739864)"
"10/21/2024 06:00:00 AM","subway","316","50 St (1)","Manhattan","omny","OMNY - Full Fare","57","2","40.761726","-73.98385","POINT (-73.98385 40.761726)"
"10/21/2024 06:00:00 AM","subway","449","111 St (7)","Queens","metrocard","Metrocard - Seniors & Disability","10","0","40.75173","-73.85533","POINT (-73.85533 40.75173)"
