node_idx,stop_id,stop_name,stop_lon,stop_lat,station_complex_id,ridership_morning,ridership_evening,net_ridership,balanced_real,balanced_net_ridership_int
0,101,Van Cortlandt Park-242 St,-73.898583,40.889248,293,2204.0,1010.0,1194.0,4816.106496205061,4816
1,103,238 St,-73.90087,40.884667,294,1510.0,542.0,968.0,3904.5151493521766,3904
2,104,231 St,-73.904834,40.878856,295,2558.0,1290.0,1268.0,5114.592158448926,5115
3,106,Marble Hill-225 St,-73.909831,40.874561,296,1451.0,732.0,719.0,2900.1512318018754,2900
4,107,215 St,-73.915279,40.869444,297,549.0,414.0,135.0,544.534654093537,545
5,108,207 St,-73.918822,40.864621,298,1528.0,974.0,554.0,2234.608876798663,2235
6,109,Dyckman St,-73.925536,40.860531,299,2018.0,944.0,1074.0,4332.075692566362,4332
7,110,191 St,-73.929412,40.855225,300,2110.0,974.0,1136.0,4582.158274446357,4582
8,111,181 St,-73.933596,40.849505,301,2985.0,1798.0,1187.0,4787.8713659928035,4788
9,112,168 St-Washington Hts,-73.940133,40.840556,605,4005.0,7044.0,-3039.0,-5549.683530577658,-5550
10,113,157 St,-73.94489,40.834041,303,2781.0,1489.0,1292.0,5211.398319176666,5211
11,114,145 St,-73.95036,40.826551,304,2412.0,1314.0,1098.0,4428.881853294101,4429
12,115,137 St-City College,-73.953676,40.822008,305,2942.0,2237.0,705.0,2843.68097137736,2844
13,116,125 St,-73.958372,40.815581,306,1360.0,2697.0,-1337.0,-2441.5685687339023,-2442
14,117,116 St-Columbia University,-73.96411,40.807722,307,1102.0,5676.0,-4574.0,-8352.830690642384,-8353
15,118,Cathedral Pkwy (110 St),-73.966847,40.803967,308,2118.0,2941.0,-823.0,-1502.9251548750947,-1503
16,119,103 St,-73.968379,40.799446,309,2875.0,2201.0,674.0,2718.6396804373626,2719
17,120,96 St,-73.972323,40.793919,310,7603.0,7433.0,170.0,685.7103051548245,686
18,121,86 St,-73.976218,40.788644,311,3184.0,3948.0,-764.0,-1395.1820392765155,-1395
19,122,79 St,-73.979917,40.783934,312,2462.0,3720.0,-1258.0,-2297.3023631019064,-2297
20,123,72 St,-73.98197,40.778453,313,6779.0,9529.0,-2750.0,-5021.924879594788,-5022
21,124,66 St-Lincoln Center,-73.982209,40.77344,314,2280.0,5268.0,-2988.0,-5456.549650992445,-5457
22,125,59 St-Columbus Circle,-73.981929,40.768247,614,6450.0,23989.0,-17539.0,-32028.92380480472,-32029
23,126,50 St,-73.983849,40.761728,316,1918.0,7655.0,-5737.0,-10476.648376085563,-10477
24,127,Times Sq-42 St,-73.987495,40.75529,611,37085.0,39228.0,-2143.0,-3913.4490970805928,-3913
25,128,34 St-Penn Station,-73.991057,40.750373,318,18744.0,13006.0,5738.0,23144.739593990485,23145
26,129,28 St,-73.993365,40.747215,319,1623.0,3657.0,-2034.0,-3714.398256398472,-3714
27,130,23 St,-73.995657,40.744081,320,1566.0,3684.0,-2118.0,-3867.7952345388217,-3868
28,131,18 St,-73.997871,40.74104,321,819.0,2041.0,-1222.0,-2231.5608010417563,-2232
29,132,14 St,-74.000201,40.737826,601,4837.0,11455.0,-6618.0,-12085.490492057565,-12085
30,133,Christopher St-Stonewall,-74.002906,40.733422,323,1447.0,2654.0,-1207.0,-2204.168483516694,-2204
31,134,Houston St,-74.005367,40.728251,324,1010.0,4783.0,-3773.0,-6890.080934804048,-6890
32,135,Canal St,-74.006277,40.722854,325,370.0,1409.0,-1039.0,-1897.3745272359943,-1897
33,136,Franklin St,-74.006886,40.719318,326,597.0,1973.0,-1376.0,-2512.7885942990647,-2513
34,137,Chambers St,-74.009266,40.715478,327,1738.0,7232.0,-5494.0,-10032.89283217955,-10033
35,138,WTC Cortlandt,-74.012188,40.711835,328,2354.0,4464.0,-2110.0,-3853.185998525455,-3853
36,139,Rector St,-74.013783,40.707513,329,1310.0,1893.0,-583.0,-1064.648074474095,-1065
37,142,South Ferry,-74.013664,40.702068,635,4876.0,8452.0,-3576.0,-6530.328497974894,-6530
38,201,Wakefield-241 St,-73.85062,40.903125,416,1241.0,548.0,693.0,2795.2778910134903,2795
39,204,Nereid Av,-73.854376,40.898379,417,1013.0,310.0,703.0,2835.6137913167154,2836
40,205,233 St,-73.857473,40.893193,418,1180.0,474.0,706.0,2847.7145614076826,2848
41,206,225 St,-73.860341,40.888022,419,1001.0,257.0,744.0,3000.9909825599375,3001
42,207,219 St,-73.862633,40.883895,420,887.0,230.0,657.0,2650.0686499218805,2650
43,208,Gun Hill Rd,-73.866256,40.87785,421,1755.0,882.0,873.0,3521.3240964715396,3521
44,209,Burke Av,-73.867164,40.871356,422,876.0,234.0,642.0,2589.564799467043,2590
45,210,Allerton Av,-73.867352,40.865462,423,1373.0,431.0,942.0,3799.641808563792,3800
46,211,Pelham Pkwy,-73.867615,40.857192,424,1953.0,966.0,987.0,3981.1533599283043,3981
47,212,Bronx Park East,-73.868457,40.848828,425,793.0,204.0,589.0,2375.7845278599507,2376
48,213,E 180 St,-73.873488,40.841894,426,2646.0,889.0,1757.0,7087.0176832766265,7087
49,214,West Farms Sq-E Tremont Av,-73.880049,40.840295,427,1312.0,826.0,486.0,1960.3247547367334,1960
50,215,174 St,-73.887734,40.837288,428,1702.0,818.0,884.0,3565.6935868050873,3566
51,216,Freeman St,-73.891865,40.829993,429,1377.0,522.0,855.0,3448.7194759257345,3449
52,217,Simpson St,-73.893064,40.824073,430,1771.0,1431.0,340.0,1371.420610309649,1371
53,218,Intervale Av,-73.896736,40.822181,431,801.0,482.0,319.0,1286.7152196728764,1287
54,219,Prospect Av,-73.90177,40.819585,432,1736.0,999.0,737.0,2972.75585234768,2973
55,220,Jackson Av,-73.907807,40.81649,433,1530.0,868.0,662.0,2670.236600073493,2670
56,221,3 Av-149 St,-73.917757,40.816109,434,4671.0,3175.0,1496.0,6034.250685362455,6034
57,222,149 St-Grand Concourse,-73.926718,40.81841,603,1804.0,2393.0,-589.0,-1075.6050014841198,-1076
58,224,135 St,-73.94077,40.814229,438,2641.0,2187.0,454.0,1831.2498737664134,1831
59,225,125 St,-73.945495,40.807754,439,2350.0,3622.0,-1272.0,-2322.868526125298,-2323
60,226,116 St,-73.949625,40.802098,440,2363.0,1530.0,833.0,3359.9804952586396,3360
61,227,110 St-Malcolm X Plaza,-73.951822,40.799075,441,1894.0,1397.0,497.0,2004.6942450702809,2005
62,228,Park Place,-74.008811,40.713051,624,6120.0,21074.0,-14954.0,-27308.31441798562,-27308
63,229,Fulton St,-74.006571,40.709416,628,11357.0,26535.0,-15178.0,-27717.373026359885,-27717
64,230,Wall St,-74.0091,40.706821,333,2082.0,6481.0,-4399.0,-8033.2536528499895,-8033
65,231,Clark St,-73.993086,40.697466,334,1556.0,1588.0,-32.0,-58.43694405346662,-58
66,232,Borough Hall,-73.989998,40.693219,620,4603.0,8597.0,-3994.0,-7293.661079673302,-7294
67,233,Hoyt St,-73.985065,40.690545,336,916.0,2540.0,-1624.0,-2965.674910713431,-2966
68,234,Nevins St,-73.980492,40.688246,337,1698.0,2298.0,-600.0,-1095.692701002499,-1096
69,235,Atlantic Av-Barclays Ctr,-73.977666,40.684359,617,8062.0,9829.0,-1767.0,-3226.81500445236,-3227
70,236,Bergen St,-73.975098,40.680829,339,1333.0,814.0,519.0,2093.433225737376,2093
71,237,Grand Army Plaza,-73.971046,40.675235,340,2010.0,1623.0,387.0,1560.9993417348062,1561
72,238,Eastern Pkwy-Brooklyn Museum,-73.964375,40.671987,341,1094.0,753.0,341.0,1375.4542003399713,1375
