stop_id,stop_name,routes_at_stop
101,Van Cortlandt Park-242 St,1
103,238 St,1
104,231 St,1
106,Marble Hill-225 St,1
107,215 St,1
108,207 St,1
109,Dyckman St,1
110,191 St,1
111,181 St,1
112,168 St-Washington Hts,1
113,157 St,1
114,145 St,1
115,137 St-City College,1
116,125 St,1
117,116 St-Columbia University,1
118,Cathedral Pkwy (110 St),1
119,103 St,1
120,96 St,"1,2,3"
121,86 St,"1,2"
122,79 St,"1,2"
123,72 St,"1,2,3"
124,66 St-Lincoln Center,"1,2"
125,59 St-Columbus Circle,"1,2"
126,50 St,"1,2"
127,Times Sq-42 St,"1,2,3"
128,34 St-Penn Station,"1,2,3"
129,28 St,"1,2"
130,23 St,"1,2"
131,18 St,"1,2"
132,14 St,"1,2,3"
133,Christopher St-Stonewall,"1,2"
134,Houston St,"1,2"
135,Canal St,"1,2"
136,Franklin St,"1,2"
137,Chambers St,"1,2,3"
138,WTC Cortlandt,1
139,Rector St,1
142,South Ferry,1
201,Wakefield-241 St,2
204,Nereid Av,"2,5"
205,233 St,"2,5"
206,225 St,"2,5"
207,219 St,"2,5"
208,Gun Hill Rd,"2,5"
209,Burke Av,"2,5"
210,Allerton Av,"2,5"
211,Pelham Pkwy,"2,5"
212,Bronx Park East,"2,5"
213,E 180 St,"2,5"
214,West Farms Sq-E Tremont Av,"2,5"
215,174 St,"2,5"
216,Freeman St,"2,5"
217,Simpson St,"2,5"
218,Intervale Av,"2,5"
219,Prospect Av,"2,5"
220,Jackson Av,"2,5"
221,3 Av-149 St,"2,5"
222,149 St-Grand Concourse,"2,5"
224,135 St,"2,3"
225,125 St,"2,3"
226,116 St,"2,3"
227,110 St-Malcolm X Plaza,"2,3"
228,Park Place,"2,3"
229,Fulton St,"2,3"
230,Wall St,"2,3"
231,Clark St,"2,3"
232,Borough Hall,"2,3"
233,Hoyt St,"2,3"
234,Nevins St,"2,3,4,5"
235,Atlantic Av-Barclays Ctr,"2,3,4,5"
236,Bergen St,"2,3,4"
237,Grand Army Plaza,"2,3,4"
238,Eastern Pkwy-Brooklyn Museum,"2,3,4"
239,Franklin Av-Medgar Evers College,"2,3,4,5"
241,President St-Medgar Evers College,"2,5"
242,Sterling St,"2,5"
243,Winthrop St,"2,5"
244,Church Av,"2,5"
245,Beverly Rd,"2,5"
246,Newkirk Av-Little Haiti,"2,5"
247,Flatbush Av-Brooklyn College,"2,5"
248,Nostrand Av,"2,3,4,5"
249,Kingston Av,"2,3,4,5"
250,Crown Hts-Utica Av,"2,3,4,5"
251,Sutter Av-Rutland Rd,"2,3,4,5"
252,Saratoga Av,"2,3,4,5"
253,Rockaway Av,"2,3,4,5"
254,Junius St,"2,3,4,5"
255,Pennsylvania Av,"2,3,4,5"
256,Van Siclen Av,"2,3,4,5"
257,New Lots Av,"2,3,4,5"
301,Harlem-148 St,3
302,145 St,3
401,Woodlawn,4
402,Mosholu Pkwy,4
405,Bedford Park Blvd-Lehman College,4
406,Kingsbridge Rd,4
407,Fordham Rd,4
408,183 St,4
409,Burnside Av,4
410,176 St,4
411,Mt Eden Av,4
412,170 St,4
413,167 St,4
414,161 St-Yankee Stadium,4
415,149 St-Grand Concourse,4
416,138 St-Grand Concourse,"4,5"
418,Fulton St,"4,5"
419,Wall St,"4,5"
420,Bowling Green,"4,5"
423,Borough Hall,"4,5"
501,Eastchester-Dyre Av,5
502,Baychester Av,5
503,Gun Hill Rd,5
504,Pelham Pkwy,5
505,Morris Park,5
601,Pelham Bay Park,"6,6X"
602,Buhre Av,"6,6X"
603,Middletown Rd,"6,6X"
604,Westchester Sq-E Tremont Av,"6,6X"
606,Zerega Av,"6,6X"
607,Castle Hill Av,"6,6X"
608,Parkchester,"6,6X"
609,St Lawrence Av,6
610,Morrison Av-Soundview,6
611,Elder Av,6
612,Whitlock Av,6
613,Hunts Point Av,"6,6X"
614,Longwood Av,6
615,E 149 St,6
616,E 143 St-St Mary's St,6
617,Cypress Av,6
618,Brook Av,6
619,3 Av-138 St,"6,6X"
621,125 St,"4,5,6,6X"
622,116 St,"4,6,6X"
623,110 St,"4,6,6X"
624,103 St,"4,6,6X"
625,96 St,"4,6,6X"
626,86 St,"4,5,6,6X"
627,77 St,"4,6,6X"
628,68 St-Hunter College,"4,6,6X"
629,59 St,"4,5,6,6X"
630,51 St,"4,6,6X"
631,Grand Central-42 St,"4,5,6,6X"
632,33 St,"4,6,6X"
633,28 St,"4,6,6X"
634,23 St-Baruch College,"4,6,6X"
635,14 St-Union Sq,"4,5,6,6X"
636,Astor Pl,"4,6,6X"
637,Bleecker St,"4,6,6X"
638,Spring St,"4,6,6X"
639,Canal St,"4,6,6X"
640,Brooklyn Bridge-City Hall,"4,5,6,6X"
