station_complex_id,ridership
1,1877.0
2,1373.0
3,1869.0
4,1520.0
5,1049.0
6,824.0
8,6161.0
9,10763.0
10,8189.0
13,3281.0
14,6187.0
16,4497.0
17,3574.0
20,2023.0
22,1575.0
26,5483.0
28,1688.0
30,1165.0
31,774.0
32,4031.0
33,1070.0
34,1463.0
35,2210.0
36,909.0
37,614.0
38,1590.0
39,614.0
41,1785.0
42,1528.0
43,974.0
44,1350.0
45,518.0
46,825.0
47,1105.0
48,582.0
49,813.0
50,887.0
51,2807.0
52,918.0
53,505.0
54,1976.0
55,1968.0
56,562.0
57,711.0
58,3277.0
59,675.0
60,649.0
61,650.0
62,351.0
64,454.0
65,705.0
66,628.0
67,521.0
68,811.0
69,409.0
70,304.0
71,2374.0
72,756.0
74,604.0
75,608.0
76,751.0
77,590.0
78,457.0
79,297.0
80,338.0
81,300.0
82,284.0
83,647.0
84,148.0
85,416.0
86,81.0
87,419.0
88,287.0
89,251.0
90,309.0
91,390.0
93,396.0
94,679.0
95,964.0
96,725.0
97,1803.0
98,1784.0
99,744.0
100,425.0
101,2432.0
103,837.0
107,2215.0
108,708.0
109,541.0
110,392.0
111,290.0
113,650.0
114,497.0
118,1833.0
119,6258.0
120,6977.0
122,1709.0
123,1478.0
124,1189.0
125,1415.0
126,1679.0
127,1777.0
129,955.0
130,572.0
131,346.0
133,450.0
134,544.0
135,464.0
136,477.0
137,331.0
138,335.0
141,303.0
143,1060.0
144,918.0
145,672.0
146,1131.0
147,1475.0
149,493.0
150,310.0
151,4792.0
152,1255.0
153,6389.0
154,1069.0
155,1361.0
156,930.0
157,2883.0
158,3287.0
159,4194.0
160,3322.0
162,5406.0
164,16068.0
165,5854.0
167,11754.0
168,4597.0
169,6275.0
173,2631.0
175,3318.0
176,1208.0
177,1331.0
179,2847.0
180,1018.0
181,1829.0
182,611.0
183,761.0
185,413.0
186,256.0
187,245.0
188,1055.0
189,474.0
190,284.0
191,167.0
192,793.0
193,114.0
194,137.0
195,524.0
196,107.0
197,77.0
198,582.0
199,35.0
200,101.0
201,61.0
202,127.0
203,146.0
204,281.0
205,144.0
206,62.0
207,75.0
208,107.0
209,761.0
210,729.0
211,649.0
212,606.0
213,1220.0
214,451.0
215,717.0
216,631.0
217,667.0
218,972.0
220,359.0
221,2050.0
222,1837.0
223,6727.0
224,5488.0
225,23193.0
228,8232.0
231,6027.0
232,3350.0
234,3423.0
235,4125.0
236,2769.0
237,2710.0
238,1189.0
240,2402.0
241,1092.0
242,914.0
243,1087.0
244,542.0
245,500.0
246,369.0
247,171.0
248,393.0
249,276.0
250,514.0
251,267.0
252,314.0
253,279.0
254,1710.0
255,988.0
256,809.0
257,586.0
258,502.0
259,3346.0
260,458.0
261,4079.0
262,1032.0
263,1994.0
264,2668.0
265,2060.0
266,1323.0
268,456.0
269,900.0
270,1057.0
271,2172.0
272,1073.0
273,4270.0
276,9838.0
277,5782.0
278,4434.0
279,5361.0
280,848.0
282,600.0
283,2088.0
284,2155.0
286,908.0
287,614.0
288,790.0
289,1200.0
290,895.0
291,1277.0
292,1532.0
293,1010.0
294,542.0
295,1290.0
296,732.0
297,414.0
298,974.0
299,944.0
300,974.0
301,1798.0
303,1489.0
304,1314.0
305,2237.0
306,2697.0
307,5676.0
308,2941.0
309,2201.0
310,7433.0
311,3948.0
312,3720.0
313,9529.0
314,5268.0
316,7655.0
318,13006.0
319,3657.0
320,3684.0
321,2041.0
323,2654.0
324,4783.0
325,1409.0
326,1973.0
327,7232.0
328,4464.0
329,1893.0
333,6481.0
334,1588.0
336,2540.0
337,2298.0
339,814.0
340,1623.0
341,753.0
343,669.0
344,973.0
345,2842.0
346,720.0
347,428.0
348,671.0
349,424.0
350,510.0
351,241.0
352,564.0
353,559.0
354,735.0
355,1698.0
356,957.0
357,387.0
358,669.0
359,2461.0
360,646.0
361,260.0
362,190.0
363,758.0
364,297.0
365,542.0
366,1023.0
367,303.0
368,458.0
369,552.0
370,190.0
371,1545.0
372,599.0
373,570.0
374,511.0
375,590.0
376,735.0
377,1247.0
378,777.0
379,1202.0
380,841.0
381,916.0
382,1105.0
383,513.0
384,1445.0
385,680.0
386,609.0
387,816.0
388,916.0
391,765.0
392,5757.0
393,2507.0
394,2015.0
395,2803.0
396,5114.0
397,12858.0
398,8387.0
399,9571.0
403,7870.0
404,5624.0
405,9139.0
407,3877.0
409,3376.0
413,4888.0
414,7791.0
416,548.0
417,310.0
418,474.0
419,257.0
420,230.0
421,882.0
422,234.0
423,431.0
424,966.0
425,204.0
426,889.0
427,826.0
428,818.0
429,522.0
430,1431.0
431,482.0
432,999.0
433,868.0
434,3175.0
436,395.0
437,419.0
438,2187.0
439,3622.0
440,1530.0
441,1397.0
442,457.0
443,340.0
444,363.0
445,376.0
446,200.0
447,9888.0
448,694.0
449,905.0
450,2838.0
451,3303.0
452,2597.0
453,1858.0
455,834.0
456,2213.0
457,962.0
458,1942.0
459,1658.0
460,2990.0
461,2632.0
463,1510.0
464,2758.0
471,9510.0
475,3646.0
476,4941.0
477,9889.0
601,11455.0
602,27193.0
603,2393.0
604,4596.0
605,7044.0
606,7050.0
607,28995.0
608,2768.0
609,20487.0
610,43240.0
611,39228.0
612,20512.0
613,17106.0
614,23989.0
615,601.0
616,9154.0
617,9829.0
618,13687.0
619,12295.0
620,8597.0
621,1161.0
622,9597.0
623,13921.0
624,21074.0
625,6310.0
626,2317.0
627,1016.0
628,26535.0
629,2828.0
630,3114.0
635,8452.0
636,12697.0
