station_complex_id,ridership
1,4967.0
2,3781.0
3,4465.0
4,3979.0
5,1793.0
6,1017.0
8,529.0
9,2902.0
10,2169.0
13,940.0
14,1388.0
16,1666.0
17,477.0
20,425.0
22,772.0
26,3867.0
28,1730.0
30,1734.0
31,951.0
32,3062.0
33,2547.0
34,2730.0
35,4470.0
36,2622.0
37,1979.0
38,3888.0
39,1955.0
41,2734.0
42,2699.0
43,2261.0
44,4187.0
45,1602.0
46,2325.0
47,3438.0
48,1065.0
49,1585.0
50,1616.0
51,6234.0
52,2386.0
53,1811.0
54,4451.0
55,3077.0
56,816.0
57,553.0
58,3684.0
59,2118.0
60,1142.0
61,679.0
62,357.0
64,2050.0
65,2470.0
66,2292.0
67,1837.0
68,2685.0
69,1724.0
70,932.0
71,2791.0
72,2776.0
74,1514.0
75,1617.0
76,2703.0
77,2337.0
78,1373.0
79,808.0
80,668.0
81,808.0
82,1097.0
83,1547.0
84,673.0
85,1094.0
86,289.0
87,1017.0
88,788.0
89,840.0
90,983.0
91,444.0
93,778.0
94,1919.0
95,1900.0
96,1689.0
97,3283.0
98,1241.0
99,898.0
100,601.0
101,2386.0
103,254.0
107,305.0
108,1283.0
109,2230.0
110,1687.0
111,981.0
113,1265.0
114,1273.0
118,432.0
119,4438.0
120,7094.0
122,2558.0
123,1456.0
124,1611.0
125,1400.0
126,2126.0
127,4181.0
129,2953.0
130,1376.0
131,738.0
133,743.0
134,1257.0
135,832.0
136,1201.0
137,926.0
138,897.0
141,451.0
143,2690.0
144,1871.0
145,1438.0
146,3009.0
147,3108.0
149,1295.0
150,696.0
151,5674.0
152,1225.0
153,5237.0
154,1643.0
155,1892.0
156,1156.0
157,1802.0
158,2000.0
159,1267.0
160,1291.0
162,2655.0
164,17018.0
165,2995.0
167,4123.0
168,1067.0
169,1116.0
173,1392.0
175,1548.0
176,841.0
177,1951.0
179,4702.0
180,1754.0
181,3745.0
182,1508.0
183,1710.0
185,663.0
186,1090.0
187,838.0
188,3908.0
189,2040.0
190,1618.0
191,1176.0
192,2450.0
193,716.0
194,967.0
195,2514.0
196,96.0
197,333.0
198,756.0
199,107.0
200,214.0
201,131.0
202,71.0
203,169.0
204,686.0
205,516.0
206,248.0
207,290.0
208,488.0
209,1179.0
210,2112.0
211,1768.0
212,1861.0
213,2436.0
