station_complex_id,ridership,GTFS Stop ID
1,1877.0,R01
2,1373.0,R03
3,1869.0,R04
4,1520.0,R05
5,1049.0,R06
6,824.0,R08
8,6161.0,R13
9,10763.0,R14
10,8189.0,R15
13,3281.0,R18
14,6187.0,R19
16,4497.0,R21
17,3574.0,R22
20,2023.0,R24
22,1575.0,R26
26,5483.0,R30
28,1688.0,R32
30,1165.0,R34
31,774.0,R35
32,4031.0,R36
33,1070.0,R39
34,1463.0,R40
35,2210.0,R41
36,909.0,R42
37,614.0,R43
38,1590.0,R44
39,614.0,R45
41,1785.0,D25
42,1528.0,D26
43,974.0,D27
44,1350.0,D28
45,518.0,D29
46,825.0,D30
47,1105.0,D31
48,582.0,D32
49,813.0,D33
50,887.0,D34
51,2807.0,D35
52,918.0,D37
53,505.0,D38
54,1976.0,D39
55,1968.0,D40
56,562.0,D41
57,711.0,D42
58,3277.0,D43
59,675.0,B12
60,649.0,B13
61,650.0,B14
62,351.0,B15
64,454.0,B17
65,705.0,B18
66,628.0,B19
67,521.0,B20
68,811.0,B21
69,409.0,B22
70,304.0,B23
71,2374.0,N02
72,756.0,N03
74,604.0,N05
75,608.0,N06
76,751.0,N07
77,590.0,N08
78,457.0,N09
79,297.0,N10
80,338.0,J12
81,300.0,J13
82,284.0,J14
83,647.0,J15
84,148.0,J16
85,416.0,J17
86,81.0,J19
87,419.0,J20
88,287.0,J21
89,251.0,J22
90,309.0,J23
91,390.0,J24
93,396.0,J28
94,679.0,J29
95,964.0,J30
96,725.0,J31
97,1803.0,M11
98,1784.0,M12
99,744.0,M13
100,425.0,M14
101,2432.0,M16
103,837.0,M19
107,2215.0,M23
108,708.0,M01
109,541.0,M04
110,392.0,M05
111,290.0,M06
113,650.0,M09
114,497.0,M10
118,1833.0,L05
119,6258.0,L06
120,6977.0,L08
122,1709.0,L11
123,1478.0,L12
124,1189.0,L13
125,1415.0,L14
126,1679.0,L15
127,1777.0,L16
129,955.0,L19
130,572.0,L20
131,346.0,L21
133,450.0,L24
134,544.0,L25
135,464.0,L26
136,477.0,L27
137,331.0,L28
138,335.0,L29
141,303.0,S03
143,1060.0,A02
144,918.0,A03
145,672.0,A05
146,1131.0,A06
147,1475.0,A07
149,493.0,A10
150,310.0,A11
151,4792.0,A12
151,4792.0,D13
152,1255.0,A14
153,6389.0,A15
154,1069.0,A16
155,1361.0,A17
156,930.0,A18
157,2883.0,A19
158,3287.0,A20
159,4194.0,A21
160,3322.0,A22
162,5406.0,A25
164,16068.0,A28
165,5854.0,A30
167,11754.0,A32
167,11754.0,D20
168,4597.0,A33
169,6275.0,A34
173,2631.0,A40
175,3318.0,A42
176,1208.0,A43
177,1331.0,A44
179,2847.0,A46
180,1018.0,A47
181,1829.0,A48
182,611.0,A49
183,761.0,A50
185,413.0,A52
186,256.0,A53
187,245.0,A54
188,1055.0,A55
189,474.0,A57
190,284.0,A59
191,167.0,A60
192,793.0,A61
193,114.0,A63
194,137.0,A64
195,524.0,A65
196,107.0,H01
197,77.0,H02
198,582.0,H03
199,35.0,H04
200,101.0,H12
201,61.0,H13
202,127.0,H14
203,146.0,H15
204,281.0,H06
205,144.0,H07
206,62.0,H08
207,75.0,H09
208,107.0,H10
209,761.0,H11
210,729.0,D01
211,649.0,D03
212,606.0,D04
213,1220.0,D05
214,451.0,D06
215,717.0,D07
216,631.0,D08
217,667.0,D09
218,972.0,D10
220,359.0,D12
221,2050.0,B04
222,1837.0,B06
223,6727.0,B08
224,5488.0,B10
225,23193.0,D15
228,8232.0,D18
231,6027.0,D22
232,3350.0,F14
234,3423.0,F16
235,4125.0,F18
236,2769.0,F20
237,2710.0,F21
238,1189.0,F22
240,2402.0,F24
241,1092.0,F25
242,914.0,F26
243,1087.0,F27
244,542.0,F29
245,500.0,F30
246,369.0,F31
247,171.0,F32
248,393.0,F33
249,276.0,F34
250,514.0,F35
251,267.0,F36
252,314.0,F38
253,279.0,F39
254,1710.0,F01
255,988.0,F02
256,809.0,F03
257,586.0,F04
258,502.0,F05
259,3346.0,F06
260,458.0,F07
261,4079.0,G08
262,1032.0,G09
263,1994.0,G10
264,2668.0,G11
265,2060.0,G12
266,1323.0,G13
268,456.0,G15
269,900.0,G16
270,1057.0,G18
271,2172.0,G19
272,1073.0,G20
273,4270.0,G21
276,9838.0,F12
277,5782.0,D14
278,4434.0,G05
279,5361.0,G06
280,848.0,G07
282,600.0,G24
283,2088.0,G26
284,2155.0,G28
286,908.0,G30
287,614.0,G31
288,790.0,G32
289,1200.0,G33
290,895.0,G34
291,1277.0,G35
292,1532.0,G36
293,1010.0,101
294,542.0,103
295,1290.0,104
296,732.0,106
297,414.0,107
298,974.0,108
299,944.0,109
300,974.0,110
301,1798.0,111
303,1489.0,113
304,1314.0,114
305,2237.0,115
306,2697.0,116
307,5676.0,117
308,2941.0,118
309,2201.0,119
310,7433.0,120
311,3948.0,121
312,3720.0,122
313,9529.0,123
314,5268.0,124
316,7655.0,126
318,13006.0,128
319,3657.0,129
320,3684.0,130
321,2041.0,131
323,2654.0,133
324,4783.0,134
325,1409.0,135
326,1973.0,136
327,7232.0,137
328,4464.0,138
329,1893.0,139
333,6481.0,230
334,1588.0,231
336,2540.0,233
337,2298.0,234
339,814.0,236
340,1623.0,237
341,753.0,238
343,669.0,248
344,973.0,249
345,2842.0,250
346,720.0,251
347,428.0,252
348,671.0,253
349,424.0,254
350,510.0,255
351,241.0,256
352,564.0,257
353,559.0,241
354,735.0,242
355,1698.0,243
356,957.0,244
357,387.0,245
358,669.0,246
359,2461.0,247
360,646.0,601
361,260.0,602
362,190.0,603
363,758.0,604
364,297.0,606
365,542.0,607
366,1023.0,608
367,303.0,609
368,458.0,610
369,552.0,611
370,190.0,612
371,1545.0,613
372,599.0,614
373,570.0,615
374,511.0,616
375,590.0,617
376,735.0,618
377,1247.0,619
378,777.0,401
379,1202.0,402
380,841.0,405
381,916.0,406
382,1105.0,407
383,513.0,408
384,1445.0,409
385,680.0,410
386,609.0,411
387,816.0,412
388,916.0,413
391,765.0,416
392,5757.0,621
393,2507.0,622
394,2015.0,623
395,2803.0,624
396,5114.0,625
397,12858.0,626
398,8387.0,627
399,9571.0,628
403,7870.0,632
404,5624.0,633
405,9139.0,634
407,3877.0,636
409,3376.0,638
413,4888.0,419
414,7791.0,420
416,548.0,201
417,310.0,204
418,474.0,205
419,257.0,206
420,230.0,207
421,882.0,208
422,234.0,209
423,431.0,210
424,966.0,211
425,204.0,212
426,889.0,213
427,826.0,214
428,818.0,215
429,522.0,216
430,1431.0,217
431,482.0,218
432,999.0,219
433,868.0,220
434,3175.0,221
436,395.0,301
437,419.0,302
438,2187.0,224
439,3622.0,225
440,1530.0,226
441,1397.0,227
442,457.0,501
443,340.0,502
444,363.0,503
445,376.0,504
446,200.0,505
447,9888.0,701
448,694.0,702
449,905.0,705
450,2838.0,706
451,3303.0,707
452,2597.0,708
453,1858.0,709
455,834.0,711
456,2213.0,712
457,962.0,713
458,1942.0,714
459,1658.0,715
460,2990.0,716
461,2632.0,R09
461,2632.0,718
463,1510.0,720
464,2758.0,721
471,9510.0,726
475,3646.0,Q05
476,4941.0,Q04
477,9889.0,Q03
601,11455.0,L02
601,11455.0,D19
601,11455.0,132
602,27193.0,R20
602,27193.0,L03
602,27193.0,635
603,2393.0,415
603,2393.0,222
604,4596.0,D11
604,4596.0,414
605,7044.0,A09
605,7044.0,112
606,7050.0,F09
606,7050.0,G22
606,7050.0,719
607,28995.0,R17
607,28995.0,D17
608,2768.0,R33
608,2768.0,F23
609,20487.0,D16
609,20487.0,724
610,43240.0,631
610,43240.0,723
610,43240.0,901
611,39228.0,R16
611,39228.0,A27
611,39228.0,127
611,39228.0,725
611,39228.0,902
612,20512.0,F11
612,20512.0,630
613,17106.0,R11
613,17106.0,629
614,23989.0,A24
614,23989.0,125
615,601.0,B16
615,601.0,N04
616,9154.0,G14
616,9154.0,710
617,9829.0,R31
617,9829.0,D24
617,9829.0,235
618,13687.0,L01
618,13687.0,A31
619,12295.0,D21
619,12295.0,637
620,8597.0,R28
620,8597.0,232
620,8597.0,423
621,1161.0,J27
621,1161.0,L22
621,1161.0,A51
622,9597.0,M21
622,9597.0,640
623,13921.0,R23
623,13921.0,Q01
623,13921.0,M20
623,13921.0,639
624,21074.0,R25
624,21074.0,A36
624,21074.0,E01
624,21074.0,228
625,6310.0,M18
625,6310.0,F15
626,2317.0,S04
626,2317.0,239
627,1016.0,S01
627,1016.0,A45
628,26535.0,M22
628,26535.0,A38
628,26535.0,229
628,26535.0,418
629,2828.0,L10
629,2828.0,G29
630,3114.0,M08
630,3114.0,L17
635,8452.0,R27
635,8452.0,142
636,12697.0,R29
636,12697.0,A41
