station_complex_id,ridership,GTFS Stop ID
1,4967.0,R01
2,3781.0,R03
3,4465.0,R04
4,3979.0,R05
5,1793.0,R06
6,1017.0,R08
8,529.0,R13
9,2902.0,R14
10,2169.0,R15
13,940.0,R18
14,1388.0,R19
16,1666.0,R21
17,477.0,R22
20,425.0,R24
22,772.0,R26
26,3867.0,R30
28,1730.0,R32
30,1734.0,R34
31,951.0,R35
32,3062.0,R36
33,2547.0,R39
34,2730.0,R40
35,4470.0,R41
36,2622.0,R42
37,1979.0,R43
38,3888.0,R44
39,1955.0,R45
41,2734.0,D25
42,2699.0,D26
43,2261.0,D27
44,4187.0,D28
45,1602.0,D29
46,2325.0,D30
47,3438.0,D31
48,1065.0,D32
49,1585.0,D33
50,1616.0,D34
51,6234.0,D35
52,2386.0,D37
53,1811.0,D38
54,4451.0,D39
55,3077.0,D40
56,816.0,D41
57,553.0,D42
58,3684.0,D43
59,2118.0,B12
60,1142.0,B13
61,679.0,B14
62,357.0,B15
64,2050.0,B17
65,2470.0,B18
66,2292.0,B19
67,1837.0,B20
68,2685.0,B21
69,1724.0,B22
70,932.0,B23
71,2791.0,N02
72,2776.0,N03
74,1514.0,N05
75,1617.0,N06
76,2703.0,N07
77,2337.0,N08
78,1373.0,N09
79,808.0,N10
80,668.0,J12
81,808.0,J13
82,1097.0,J14
83,1547.0,J15
84,673.0,J16
85,1094.0,J17
86,289.0,J19
87,1017.0,J20
88,788.0,J21
89,840.0,J22
90,983.0,J23
91,444.0,J24
93,778.0,J28
94,1919.0,J29
95,1900.0,J30
96,1689.0,J31
97,3283.0,M11
98,1241.0,M12
99,898.0,M13
100,601.0,M14
101,2386.0,M16
103,254.0,M19
107,305.0,M23
108,1283.0,M01
109,2230.0,M04
110,1687.0,M05
111,981.0,M06
113,1265.0,M09
114,1273.0,M10
118,432.0,L05
119,4438.0,L06
120,7094.0,L08
122,2558.0,L11
123,1456.0,L12
124,1611.0,L13
125,1400.0,L14
126,2126.0,L15
127,4181.0,L16
129,2953.0,L19
130,1376.0,L20
131,738.0,L21
133,743.0,L24
134,1257.0,L25
135,832.0,L26
136,1201.0,L27
137,926.0,L28
138,897.0,L29
141,451.0,S03
143,2690.0,A02
144,1871.0,A03
145,1438.0,A05
146,3009.0,A06
147,3108.0,A07
149,1295.0,A10
150,696.0,A11
151,5674.0,A12
151,5674.0,D13
152,1225.0,A14
153,5237.0,A15
154,1643.0,A16
155,1892.0,A17
156,1156.0,A18
157,1802.0,A19
158,2000.0,A20
159,1267.0,A21
160,1291.0,A22
162,2655.0,A25
164,17018.0,A28
165,2995.0,A30
167,4123.0,A32
167,4123.0,D20
168,1067.0,A33
169,1116.0,A34
173,1392.0,A40
175,1548.0,A42
176,841.0,A43
177,1951.0,A44
179,4702.0,A46
180,1754.0,A47
181,3745.0,A48
182,1508.0,A49
183,1710.0,A50
185,663.0,A52
186,1090.0,A53
187,838.0,A54
188,3908.0,A55
189,2040.0,A57
190,1618.0,A59
191,1176.0,A60
192,2450.0,A61
193,716.0,A63
194,967.0,A64
195,2514.0,A65
196,96.0,H01
197,333.0,H02
198,756.0,H03
199,107.0,H04
