node_idx,stop_id,stop_name,stop_lon,stop_lat
0,101,Van Cortlandt Park-242 St,-73.898583,40.889248
1,103,238 St,-73.900870,40.884667
2,104,231 St,-73.904834,40.878856
3,106,Marble Hill-225 St,-73.909831,40.874561
4,107,215 St,-73.915279,40.869444
5,108,207 St,-73.918822,40.864621
6,109,Dyckman St,-73.925536,40.860531
7,110,191 St,-73.929412,40.855225
8,111,181 St,-73.933596,40.849505
9,112,168 St-Washington Hts,-73.940133,40.840556
10,113,157 St,-73.944890,40.834041
11,114,145 St,-73.950360,40.826551
12,115,137 St-City College,-73.953676,40.822008
13,116,125 St,-73.958372,40.815581
14,117,116 St-Columbia University,-73.964110,40.807722
15,118,Cathedral Pkwy (110 St),-73.966847,40.803967
16,119,103 St,-73.968379,40.799446
17,120,96 St,-73.972323,40.793919
18,121,86 St,-73.976218,40.788644
19,122,79 St,-73.979917,40.783934
20,123,72 St,-73.981970,40.778453
21,124,66 St-Lincoln Center,-73.982209,40.773440
22,125,59 St-Columbus Circle,-73.981929,40.768247
23,126,50 St,-73.983849,40.761728
24,127,Times Sq-42 St,-73.987495,40.755290
25,128,34 St-Penn Station,-73.991057,40.750373
26,129,28 St,-73.993365,40.747215
27,130,23 St,-73.995657,40.744081
28,131,18 St,-73.997871,40.741040
29,132,14 St,-74.000201,40.737826
30,133,Christopher St-Stonewall,-74.002906,40.733422
31,134,Houston St,-74.005367,40.728251
32,135,Canal St,-74.006277,40.722854
33,136,Franklin St,-74.006886,40.719318
34,137,Chambers St,-74.009266,40.715478
35,138,WTC Cortlandt,-74.012188,40.711835
36,139,Rector St,-74.013783,40.707513
37,142,South Ferry,-74.013664,40.702068
38,201,Wakefield-241 St,-73.850620,40.903125
39,204,Nereid Av,-73.854376,40.898379
40,205,233 St,-73.857473,40.893193
41,206,225 St,-73.860341,40.888022
42,207,219 St,-73.862633,40.883895
43,208,Gun Hill Rd,-73.866256,40.877850
44,209,Burke Av,-73.867164,40.871356
45,210,Allerton Av,-73.867352,40.865462
46,211,Pelham Pkwy,-73.867615,40.857192
47,212,Bronx Park East,-73.868457,40.848828
48,213,E 180 St,-73.873488,40.841894
49,214,West Farms Sq-E Tremont Av,-73.880049,40.840295
50,215,174 St,-73.887734,40.837288
51,216,Freeman St,-73.891865,40.829993
52,217,Simpson St,-73.893064,40.824073
53,218,Intervale Av,-73.896736,40.822181
54,219,Prospect Av,-73.901770,40.819585
55,220,Jackson Av,-73.907807,40.816490
56,221,3 Av-149 St,-73.917757,40.816109
57,222,149 St-Grand Concourse,-73.926718,40.818410
58,224,135 St,-73.940770,40.814229
59,225,125 St,-73.945495,40.807754
60,226,116 St,-73.949625,40.802098
61,227,110 St-Malcolm X Plaza,-73.951822,40.799075
62,228,Park Place,-74.008811,40.713051
63,229,Fulton St,-74.006571,40.709416
64,230,Wall St,-74.009100,40.706821
65,231,Clark St,-73.993086,40.697466
66,232,Borough Hall,-73.989998,40.693219
67,233,Hoyt St,-73.985065,40.690545
68,234,Nevins St,-73.980492,40.688246
69,235,Atlantic Av-Barclays Ctr,-73.977666,40.684359
70,236,Bergen St,-73.975098,40.680829
71,237,Grand Army Plaza,-73.971046,40.675235
72,238,Eastern Pkwy-Brooklyn Museum,-73.964375,40.671987
73,239,Franklin Av-Medgar Evers College,-73.958131,40.670682
74,241,President St-Medgar Evers College,-73.950683,40.667883
75,242,Sterling St,-73.950850,40.662742
76,243,Winthrop St,-73.950200,40.656652
77,244,Church Av,-73.949575,40.650843
78,245,Beverly Rd,-73.948959,40.645098
79,246,Newkirk Av-Little Haiti,-73.948411,40.639967
80,247,Flatbush Av-Brooklyn College,-73.947642,40.632836
81,248,Nostrand Av,-73.950466,40.669847
82,249,Kingston Av,-73.942161,40.669399
83,250,Crown Hts-Utica Av,-73.932942,40.668897
84,251,Sutter Av-Rutland Rd,-73.922610,40.664717
85,252,Saratoga Av,-73.916327,40.661453
86,253,Rockaway Av,-73.908946,40.662549
87,254,Junius St,-73.902447,40.663515
88,255,Pennsylvania Av,-73.894895,40.664635
89,256,Van Siclen Av,-73.889395,40.665449
90,257,New Lots Av,-73.884079,40.666235
91,301,Harlem-148 St,-73.936470,40.823880
92,302,145 St,-73.936245,40.820421
93,401,Woodlawn,-73.878751,40.886037
94,402,Mosholu Pkwy,-73.884655,40.879750
95,405,Bedford Park Blvd-Lehman College,-73.890064,40.873412
96,406,Kingsbridge Rd,-73.897174,40.867760
97,407,Fordham Rd,-73.901034,40.862803
98,408,183 St,-73.903879,40.858407
99,409,Burnside Av,-73.907684,40.853453
100,410,176 St,-73.911794,40.848480
101,411,Mt Eden Av,-73.914685,40.844434
102,412,170 St,-73.917791,40.840075
103,413,167 St,-73.921400,40.835537
104,414,161 St-Yankee Stadium,-73.925831,40.827994
105,415,149 St-Grand Concourse,-73.927351,40.818375
106,416,138 St-Grand Concourse,-73.929849,40.813224
107,418,Fulton St,-74.009509,40.710368
108,419,Wall St,-74.011862,40.707557
109,420,Bowling Green,-74.014065,40.704817
110,423,Borough Hall,-73.990151,40.692404
111,501,Eastchester-Dyre Av,-73.830834,40.888300
112,502,Baychester Av,-73.838591,40.878663
113,503,Gun Hill Rd,-73.846384,40.869526
114,504,Pelham Pkwy,-73.855359,40.858985
115,505,Morris Park,-73.860495,40.854364
116,601,Pelham Bay Park,-73.828121,40.852462
117,602,Buhre Av,-73.832569,40.846810
118,603,Middletown Rd,-73.836322,40.843863
119,604,Westchester Sq-E Tremont Av,-73.842952,40.839892
120,606,Zerega Av,-73.847036,40.836488
121,607,Castle Hill Av,-73.851222,40.834255
122,608,Parkchester,-73.860816,40.833226
123,609,St Lawrence Av,-73.867618,40.831509
124,610,Morrison Av-Soundview,-73.874516,40.829521
125,611,Elder Av,-73.879159,40.828584
126,612,Whitlock Av,-73.886283,40.826525
127,613,Hunts Point Av,-73.890549,40.820948
128,614,Longwood Av,-73.896435,40.816104
129,615,E 149 St,-73.904098,40.812118
130,616,E 143 St-St Mary's St,-73.907657,40.808719
131,617,Cypress Av,-73.914042,40.805368
132,618,Brook Av,-73.919240,40.807566
133,619,3 Av-138 St,-73.926138,40.810476
134,621,125 St,-73.937594,40.804138
135,622,116 St,-73.941617,40.798629
136,623,110 St,-73.944250,40.795020
137,624,103 St,-73.947478,40.790600
138,625,96 St,-73.951070,40.785672
139,626,86 St,-73.955589,40.779492
140,627,77 St,-73.959874,40.773620
141,628,68 St-Hunter College,-73.963870,40.768141
142,629,59 St,-73.967967,40.762526
143,630,51 St,-73.971920,40.757107
144,631,Grand Central-42 St,-73.976848,40.751776
145,632,33 St,-73.982076,40.746081
146,633,28 St,-73.984264,40.743070
147,634,23 St-Baruch College,-73.986599,40.739864
148,635,14 St-Union Sq,-73.989951,40.734673
149,636,Astor Pl,-73.991070,40.730054
150,637,Bleecker St,-73.994659,40.725915
151,638,Spring St,-73.997141,40.722301
152,639,Canal St,-74.000193,40.718803
153,640,Brooklyn Bridge-City Hall,-74.004131,40.713065
154,701,Flushing-Main St,-73.830030,40.759600
155,702,Mets-Willets Point,-73.845625,40.754622
156,705,111 St,-73.855334,40.751730
157,706,103 St-Corona Plaza,-73.862700,40.749865
158,707,Junction Blvd,-73.869527,40.749145
159,708,90 St-Elmhurst Av,-73.876613,40.748408
160,709,82 St-Jackson Hts,-73.883697,40.747659
161,710,74 St-Broadway,-73.891394,40.746848
162,711,69 St,-73.896403,40.746325
163,712,61 St-Woodside,-73.902984,40.745630
164,713,52 St,-73.912549,40.744149
165,714,46 St-Bliss St,-73.918435,40.743132
166,715,40 St-Lowery St,-73.924016,40.743781
167,716,33 St-Rawson St,-73.930997,40.744587
168,718,Queensboro Plaza,-73.940202,40.750582
169,719,Court Sq,-73.945264,40.747023
170,720,Hunters Point Av,-73.948916,40.742216
171,721,Vernon Blvd-Jackson Av,-73.953581,40.742626
172,723,Grand Central-42 St,-73.976041,40.751431
173,724,5 Av,-73.981963,40.753821
174,725,Times Sq-42 St,-73.987691,40.755477
175,726,34 St-Hudson Yards,-74.001910,40.755882
176,901,Grand Central-42 St,-73.979189,40.752769
177,902,Times Sq-42 St,-73.986229,40.755983
178,A02,Inwood-207 St,-73.919899,40.868072
179,A03,Dyckman St,-73.927271,40.865491
180,A05,190 St,-73.934180,40.859022
